newspaper,day,month,year,page,article,article title,ocr title,match (title/article text/manual)
Freeman's Journal,18,09,1845,0004,013,Antislavery Meeting,ANTI-SLAVERY MEETING.,title
Freeman's Journal,24,09,1845,0004,014,Antislavery Society,ANTI-SLAVERY SOCIETY.,title
Manchester Examiner,07,11,1846,,,Frederick Douglass,,
Manchester Examiner,14,11,1846,,,Correspondence,,
Manchester Examiner,14,11,1846,,,Antislavery League,,
Manchester Times,14,11,1846,,,Antislavery League,,
Manchester Times,14,11,1846,,,Antislavery League,,
Manchester Examiner,28,11,1846,,,Antislavery League,,
Manchester Examiner,17,10,1846,,,Antislavery League,,
Manchester Examiner,26,09,1846,,,American Slavery and the Evangelical Alliance,,
Manchester Times,05,12,1846,0006,025,Antislavery League,ANTI-SLAVERY LEAGUE.,title
Manchester Times,12,03,1847,,,Antislavery League,,
Manchester Times,19,03,1847,,,Progress of the Agitation,,
Manchester Times,29,05,1846,,,Antislavery Society,,
Manchester Times,17,01,1846,,,Evangelical Alliance,,
Manchester Weekly Times,20,05,1865,,,Frederick Douglass on the American Crisis,,
Manchester Times,07,08,1852,,,Anniversary of Negro Emancipation,,
Manchester Times,02,08,1854,,,Commemoration of West India Emancipation,,
Manchester Times,24,12,1850,,,Slavery in America,,
Manchester Times,23,10,1850,,,The Late Slavery Compromise in America,,
Manchester Times,06,11,1850,,,The American Fugitive Slave Law,,
Manchester Times,22,02,1862,0006,034,Dr Pennington on Slavery,DR. PENNINGTON ON SLAVERY.,title
Manchester Times,19,01,1861,0003,006,The Case of the Fugitive Slave Anderson,THE CASE OF THE FUGITIVE SLAVE ANDERSON.,title
Manchester Times,05,10,1853,,,Correspondence - A Story of Slave Life,,
Manchester Times,02,08,1854,0009,032,Antislavery Conference in Manchester,ANTI-SLAVERY CONFERENCE IN MANCHESTER.,title
Manchester Times,23,04,1847,,,Frederick Douglass,,
Manchester Times,07,08,1846,0005,018,World Temperance Convention,THE WORLD'S TEMPERANCE CONVENTION.,title
Manchester Times,15,08,1846,0006,023,World Temperance Convention,THE WORLD'S TEMPERANCE CONVENTION.,title
Manchester Times,06,11,1846,0005,015,British Organization in Connexion with the Evangelical Alliance,BRITISH ORGANIZATION IN CONNEXION WITH THE EVANGELICAL ALLIANCE.,title
Manchester Times,07,11,1846,,,Evangelical Alliance ,,
Manchester Times,07,11,1846,,,Antislavery League in Glasgow,,
Manchester Times,13,11,1846,,,Antislavery League,,
Manchester Times,20,11,1846,0007,026,Antislavery Meeting,STOCKPORT.,article
Manchester Times,09,10,1846,,,Antislavery League,,
Manchester Times,09,10,1846,,,Antislavery League,,
Manchester Times,16,10,1846,0002,007,Meeting,WEEKLY MEETING OF THE MANCHESTER BOARD OF GUARDIANS.,title
Manchester Times,16,10,1846,0002,007,Meeting,WEEKLY MEETING OF THE MANCHESTER BOARD OF GUARDIANS.,title
Manchester Times,04,09,1846,0003,010,The Evangelical Alliance,THE EVANGELICAL ALLIANCE.,title
Manchester Times,23,11,1850,,,Fugitive Slave Bill,,
Manchester Weekly Times,17,03,1866,,,Attack on Frederick Douglass in Baltimore,,
Liverpool Mercury,04,08,1854,0009,023,Antislavery Conference at Manchester,ANTI-SLAVERY CONFERENCE AT MANCHESTER.,title
Liverpool Mercury,17,12,1850,,,Fugitive Slaves,,
Liverpool Mercury,08,01,1870,0005,013,Incident of a Slave's Life,INCIDENT OF A SLAVE'S LIFE.,title
Liverpool Mercury,16,10,1849,0003,009,The Slave's Stratagem,THE SLAVE'S STRATAGEM.,title
Liverpool Mercury,05,11,1850,,,A Fugitive Slave in Liverpool,,
Liverpool Mercury,08,11,1850,,,New and Original Panorama or Mirror of American Slavery,,
Liverpool Mercury,12,11,1850,0006,024,Scenes in the Life of a Fugitive Slave,SCENES IN THE LIFE OF A FUGITIVE SLAVE.,title
Liverpool Mercury,15,11,1850,0003,008,Advert,Advertisements & Notices,title
Liverpool Mercury,15,11,1850,,,Mr Henry Box Brown and Smith's Mirror of Slavery,,
Liverpool Mercury,22,11,1850,,,New and Original Panorama or Mirror of American Slavery,,
Liverpool Mercury,26,11,1850,,,Last Week of the New and Original Panorama or Mirror of American Slavery,,
Liverpool Mercury,04,05,1893,,,Lynch Law in the Southern States of America,,
Liverpool Mercury,05,05,1893,,,Lynch Law in America,,
Liverpool Mercury,17,03,1894,,,Lynch Law in the Southern States of America,,
Liverpool Mercury,19,03,1894,,,Miss Ida B. Wells,,
Liverpool Mercury,20,03,1894,,,Great George Street Chapel,,
Liverpool Mercury,21,03,1894,,,Liverpool Direct Veto League,,
Liverpool Mercury,03,04,1894,0005,014,Lynching in the United States,LYNCHING IN THE UNITED STATES.,title
Liverpool Mercury,10,05,1894,,,National British Women's Temperance Association,,
Liverpool Mercury,07,07,1894,,,Pembroke Chapel,,
Liverpool Mercury,26,01,1861,,,The Fugitive Slave John Anderson,,
Liverpool Mercury,07,09,1876,,,The Original of Mrs Stowe's Uncle Tom,,
Liverpool Mercury,06,03,1877,,,Uncle Tom at Windsor Palace,,
Liverpool Mercury,08,03,1877,,,Uncle Tom and the Queen,,
Liverpool Mercury,23,04,1877,0007,021,Uncle Tom,UNCLE TOM.,title
Liverpool Mercury,19,07,1833,,,American Slavery and Colonization in Africa,,
Liverpool Mercury,11,10,1853,0006,019,Position and Prospects of the Antislaver Cause in America,POSITION AND PROSPECTS OF THE ANTISLAVERY CAUSE IN AMERICA.,title
Liverpool Mercury,10,01,1860,0004,013,The Aristocracy of Colour,THE ARISTOCRACY OF COLOUR.,title
Liverpool Mercury,13,01,1854,,,The Anglo-Saxons and the Negro Races,,
Liverpool Mercury,02,09,1865,,,The Negro and the Suffrage,,
Liverpool Mercury,03,04,1847,,,Pro-Slavery Persecution in England,,
Liverpool Mercury,06,04,1847,,,Departure of Frederick Douglass,,
Liverpool Mercury,13,04,1847,,,Pro-Slavery Persecution in England,,
Liverpool Mercury,18,09,1846,,,The Antislavery Society and the Evangelical Alliance,,
Liverpool Mercury,23,11,1859,0003,008,A United States Refugee,A UNITED STATES REFUGEB.,title
Liverpool Mercury,26,02,1863,0003,006,Mr Frederick Douglass of the Emancipation Policy,MR. FREDERICK DOUGLASS ON THE EMANCIPATION POLICY.,title
Liverpool Mercury,16,08,1864,,,Frederick Douglass on the American War,,
Liverpool Mercury,02,09,1865,,,The Negro and the Suffrage,,
The Leeds Mercury,27,03,1847,,,A Soiree to Frederick Douglass ,,
The Leeds Mercury,15,01,1881,,,From Bondage to Power: The Marshal Who Was A Slave,,
The Leeds Mercury,14,01,1860,,,Antislavery Meeting in Wakefield,,
The Leeds Mercury,09,10,1862,0003,009,Mr F. Douglass and American Slavery,MR. F. DOUGLASS AND AMERICAN SLAVERY.,title
The Leeds Mercury,28,12,1863,,,The Great Anti-slavery Convention in Philadelphia,,
The Leeds Mercury,17,08,1864,0004,012,Frederick Douglass on the American War,"MR. W. S. LINDSAY, M.P., ON THE AMERICAN WAR.",title
The Leeds Mercury,02,02,1865,0004,015,Mr Frederick Douglass on the Prospects of Slavery,MR. FREDERICK DOUGLASS ON THE PROSPECT'S OF SLAVERY.,title
The Leeds Mercury,01,08,1865,,,Capacity of the Negro,,
The Leeds Mercury,06,08,1867,,,Frederick Douglass and His Brother,,
The Leeds Mercury,12,01,1850,,,The Anti-Slavery Movement,,
The Leeds Mercury,19,01,1850,0007,023,Slavery in America,SLAVERY IN AMERICA.,title
The Leeds Mercury,23,10,1856,,,American Slavery - Escape of William and Ellen Craft,,
The Leeds Mercury,07,06,1860,,,William and Ellen Craft,,
The Leeds Mercury,02,09,1863,0002,009,The British Association and the Negro,THE BRITISH ASSOCIATION AND THE NEGRO.,title
The Leeds Mercury,03,09,1863,0003,010,The British Association  ,THE BRITISH ASSOCIATION.,title
The Leeds Mercury,19,04,1851,,,American Slavery,,
The Leeds Mercury,16,08,1851,,,American Slavery,,
The Leeds Mercury,03,07,1894,,,Miss Ida B. Wells,,
The Leeds Mercury,04,07,1894,,,Miss Ida B. Wells,,
The Leeds Mercury,06,07,1894,,,The Horrors of Lynching,,
The Leeds Mercury,26,12,1894,,,Trouble in Georgia,,
The Leeds Mercury,10,01,1895,,,The Anti-Lynching Committee,,
The Leeds Mercury,05,08,1843,0007,025,Leeds Anti-Slavery Society,LEEDS ANTI-SLAVERY SOCIETY.,title
The Leeds Mercury,05,01,1861,,,Canada - The Fugitive Slave Case,,
The Leeds Mercury,17,01,1861,0002,005,The Canadian Fugitive Slave Case,THE CANADIAN FUGITIVE SLAVE CASE.,title
The Leeds Mercury,19,01,1861,,,The Canadian Fugitive Slave Case,,
The Leeds Mercury,26,01,1861,,,The Fugitive Slave John Anderson,,
The Leeds Mercury,12,10,1861,,,"John Anderson, The Fugitive Slave, on Temperance",,
The Leeds Mercury,03,02,1877,,,Uncle Tom,,
The Leeds Mercury,03,03,1877,,,His Majesty and Uncle Tom,,
The Leeds Mercury,24,03,1838,,,Moses Roper,,
The Leeds Mercury,15,02,1840,,,American Slavery,,
The Leeds Mercury,13,03,1847,,,American Slavery,,
The Leeds Mercury,20,03,1847,,,Lecture  ,,
The Leeds Mercury,24,12,1859,0007,017,Leeds Young Men's Antislavery Society,LEEDS YOUNG MEN'S ANTI-SLAVERY SOCIETY.,title
The Leeds Mercury,14,01,1860,,,Anti-Slavery Meeting in Wakefield,,
The Leeds Mercury,17,06,1865,,,Birmingham and Midland Freedmen's Aid Association,,
The Leeds Mercury,23,11,1866,0003,008,National Freedmen's Aid Union ,NATIONAL FREEDMEN'S AID UNION.,title
The Leeds Mercury,10,04,1847,0007,027,Insult to Frederick Douglass in England,DEPARTURE OF FREDERICK DOUGLASS.,article
The Leeds Mercury,10,04,1847,,,Frederick Douglass and the Cambria,,
The Leeds Mercury,17,04,1847,,,Frederick Douglass,,
The Leeds Mercury,17,04,1847,0008,030,Evangelical Alliance,EVANGELICAL ALLIANCE.,title
The Leeds Mercury,15,08,1846,,,Antislavery League,,
The Leeds Mercury,01,12,1859,,,Annual Meeting of a Friendly Society,,
The Leeds Mercury,03,12,1859,,,Mr Frederick Douglass in Halifax,,
The Leeds Mercury,10,12,1859,0007,021,Mr Frederick Douglass on Non-Intervention in Regard to American Slavery,MR. FREDERICK DOUGLASS NON-INTERVENTION IN REGARD TO AMERICAN SLAVERY.,title
The Leeds Mercury,27,12,1859,0003,013,Leeds Temperance Union,LEEDS TEMPERANCE UNION.,title
The Leeds Mercury,03,06,1879,0006,018,Frederick Douglas on the Coloured Exodus,FREDERICK DOUGLASS ON THE COLOURED EXODUS.,title
The Leeds Mercury,01,08,1879,,,Frederick Douglass,,
The Leeds Mercury,02,01,1847,,,The Anti-Slavery League,,
The Glasgow Herald,12,12,1868,0003,008,The Feeling in the South - The Emancipated Slaves,THE FEELING IN THE SOUTH—THE EMANCIPATED SLAVES.,title
The Glasgow Herald,01,05,1893,,,Lynch Law of the Southern States,,
The Glasgow Herald,02,05,1893,,,Lynch Law in the Southern States of America,,
The Glasgow Herald,03,05,1893,,,The Negro Question in South America,,
The Glasgow Herald,10,05,1893,,,How Negroes are Treated in The States,,
The Glasgow Herald,11,05,1893,,,How Negroes are Treated in The States,,
The Glasgow Herald,15,05,1861,0003,004,The Case of the Fugitive Slave Anderson,THE CASE OF THE FUGITIVE SLAVE ANDERSON.,title
The Belfast News-Letter,25,06,1861,0003,013,"Anderson, The Fugitive Slave","ANDERSON, THE FUGITIVE SLAVE.",title
The Glasgow Herald,08,01,1861,,,American Slavery,,
The Glasgow Herald,20,12,1859,0004,027,The Execution of Captain Brown and Its Consequences,"THE EXECUTION OF CAPTAIN BROWN, AND ITS CONSEQUENCES.",title
The Glasgow Herald,14,12,1863,,,The Rev. Sella Martin,,
The Glasgow Herald,08,06,1867,0006,027,My Slave Life,MY SLAVE LIFE.,title
The Glasgow Herald,01,02,1868,0003,016,The Freedmen - Letter from Mr Sella Martin,THE FREEDMEN—LETTER FROM MR SELLA MARTIN.,title
The Glasgow Herald,02,10,1846,,,American Slavery,,
The Glasgow Herald,30,10,1846,,,Evangelical Alliance and American Slavery,,
The Glasgow Herald,27,12,1858,,,American Slavery,,
The Glasgow Herald,20,04,1846,,,Slaveholders Money and the Free Church,,
The Glasgow Herald,20,02,1846,,,Scottish Temperance League,,
The Glasgow Herald,12,06,1846,,,The Free Church and American Slavery,,
The Glasgow Herald,31,03,1860,,,George Thompson in Reply to Frederick Douglass,,
The Glasgow Herald,24,01,1851,0007,032,Anti-Slavery Meeting  ,ANTI-SLAVERY MEETING.,title
Belfast News-Letter,20,01,1851,,,Anti-Slavery Meeting,,
Belfast News-Letter,22,01,1851,0002,013,Belfast Anti-Slavery Society,BELFAST ANTI-SLAVERY SOCIETY.—LECTURE BY THE REV. HENRY HIGHLAND GARNET.,title
Belfast News-Letter,01,08,1881,,,The Presbyterian Church,,
Belfast News-Letter,08,12,1885,0003,008,Negro Traits,NEGRO TRAITS.,title
Belfast News-Letter,31,01,1877,,,The Veritable Uncle Tom,,
Belfast News-Letter,08,02,1877,0004,018,Uncle Tom,"""UNCEETOM.""",title
Belfast News-Letter,15,10,1841,,,Mr Remond's Lecture on Slavery,,
Belfast News-Letter,16,04,1847,,,Mr F. Douglass and the North American Mail Steam Company,,
Belfast News-Letter,28,08,1846,,,American Liberty,,
Belfast News-Letter,09,12,1845,0001,003,Lecture on Slavery,LECTURE ON SLAVERY.,title
Belfast News-Letter,16,12,1845,,,Anti-Slavery Society,,
Belfast News-Letter,02,10,1846,0002,011,American Antislavery Agitators,AMERICAN ANTI SLAVERY AGITATORS.,title
Belfast News-Letter,06,10,1846,0002,009,American Abolitionist Agitation,AMERICAN ABOLITIONIST AGITATION.— MR. W. L. GARRISON AND THE NEWSLETTER.,title
Belfast News-Letter,16,10,1846,,,The Anti-Slavery Mania,,
Belfast News-Letter,18,09,1846,0001,005,American Slavery,AMERICAN SLAVERY.,title
Belfast News-Letter,29,09,1846,0004,023,Address from the Committee of the Belfast Ladies' Anti-Slavery Association,ADDRESS FROM THE COMMITTEE OF THE BELFAST LADIES' ANTI-SLAVERY ASSOCIATION TO THE LADIES OF ULSTER.,title
Belfast News-Letter,15,12,1846,,,Free Church Anti-Slavery Society,,
Belfast News-Letter,16,06,1846,,,Frederick Douglass,,
Belfast News-Letter,19,06,1846,0001,003,American Slavery,AMERICAN SLAVERY.,title
Belfast News-Letter,06,01,1846,0001,001,Anti-Slavery Society,ANTI-SLAVERY SOCIETY.—MR. FREDERICK DOUGLASS.,title
Belfast News-Letter,09,01,1846,0001,001,Public Breakfast,BELFAST ANTI-SLAVERY SOCIETY—PUBLIC BREAKFAST TO MR. FREDERICK DOUGLASS.,title
Belfast News-Letter,08,12,1884,,,William Wells Brown,,
The Daily News,19,10,1886,,,Frederick Douglass,,
The Daily News,21,10,1886,0003,011,Frederick Douglass,FREDERICK DOUGLASS.,title
The Daily Post,19,01,1860,,,American Slavery,,
The Daily News,26,11,1862,,,The Slave's Appeal to Great Britain by Frederick Douglass,,
The Daily News,02,12,1862,,,The American Struggle,,
The Daily News,08,01,1863,,,Manchester Anti-Slavery Meeting,,
The Daily News,15,01,1863,,,A Society of Free Persons of Colour,,
The Daily News,30,12,1864,,,Frederick Douglass to the Negroes,,
The Daily News,13,10,1849,0006,026,Refugree from the United States,REFUGEE FROM THE UNITED STATES.,title
The Daily News,07,01,1851,,,Slavery in America,,
The Daily News,02,08,1851,0005,017,Anti-Slavery Soiree,ANTI-SLAVERY SOIREE.,title
The Daily News,14,05,1853,,,British and Foreign Antislavery Society,,
The Daily News,31,07,1852,,,Assize Intelligence - Henry Box Brown v William Benjamin Smith,,
The Daily News,23,09,1859,0003,009,African Civilization Society,AFRICAN CIVILISTATION SOCIETY.,title
The Daily News,18,05,1894,,,Lynching in America,,
The Daily News,31,05,1894,0005,026,Race Problems in America,Race Problems in America.,title
The Daily News,26,07,1894,0005,020,Lynch Law in America,Lynch Law in America.,title
The Daily News,19,06,1895,0003,011,Women's Temperance Meetings,THE WOMEN'S TEMPERANCE MEETINGS.,title
The Daily News,21,06,1895,,,Letters to the Editor - 'British Women on Lynching',,
The Daily News,21,12,1895,0003,013,The Anti-Lynching Committee,THE ANTI-LYNCHING COMMITTEE.,title
The Daily News,09,01,1861,0005,018,The Extradition Case  ,THE EXTRADITION CASE.,title
The Daily News,26,02,1861,0005,019,The Case of the Fugitive Anderson,THE CASE OF THE FUGITIVE ANDERSON.,title
The Daily News,13,05,1861,0002,007,The Case of the Fugitive Slave Anderson,THE CASE OF THE FUGITIVE SLAVE ANDERSON.,title
The Daily News,03,07,1861,0005,014,John Anderson The Fugitive Slave,"JOHN ANDERSON, THE FUGITIVE SLAVE.",title
The Daily News,14,05,1851,,,British and Foreign Antislavery Society,,
The Daily News,27,03,1854,0003,015,A 'Run-Away' Imposter,"A ""RUN-AWAY"" IMPOSTOR.",title
The Daily News,22,09,1866,0004,015,The Negro Race in America,THE NEGRO RACE IN AMERICA.,title
The Daily News,17,05,1853,0005,021,British and Foreign Antislavery Society,BRITISH AND FOREIGN ANTI-SLAVERY SOCIETY.,title
The Daily News,26,09,1862,0004,019,The Liberation of the Rev. Sella Martin's Sister and Children,"THE LIBERATION OF THE REV. SELLA, MARTIN'S SISTER AND CHILDEN.",title
The Daily News,08,01,1863,,,The Manchester Anti-Slavery Meeting,,
The Daily News,04,02,1863,0003,013,American Crisis,THE ANTI-SLAVERY SOCIETY AND THE AMERICAN CRISIS.,title
The Daily News,16,02,1863,0003,014,The Rev. Sella Martin's Welcome,THE REV. SELLA MARTIN S WELCOME.,title
The Daily News,24,03,1863,0003,004,Emancipation Meeting at Woolwich,EMANCIPATION MEETING AT WOOLWICH.,title
The Daily News,25,04,1863,,,Freed Men's Aid Society,,
The Daily News,07,05,1863,0003,008,Negro Emancipation,NEGRO EMANCIPATION.,title
The Daily News,03,06,1863,0003,007,Northern Hatred of the Slave,NORTHERN HATRED OF THE SLAVE.,title
The Daily News,11,07,1865,0002,003,The Freedmen of America ,THE FREEDMEN OF AMERICA.,title
The Daily News,17,09,1866,0006,023,The Temper of the South,THE TEMPER OF THE SOUTH.,title
The Daily News,12,08,1846,,,Antislavery League,,
The Daily News,15,05,1847,,,Douglass Farewell Speech,,
The Daily News,09,09,1846,,,Antislavery League,,
The Daily News,15,09,1846,0003,006,Antislavery League Meeting,ANTI-SLAVERY LEAGUE.,title
The Daily News,24,12,1858,,,American Slavery,,
The Daily News,20,12,1859,,,Mr Frederick Douglass and the Harper's Ferry Insurrection,,
The Daily News,02,02,1846,0006,020,Anti-Slavery in the United States,ANTI-SLAVERY IN THE UNITED STATES.,title
The Daily News,10,03,1847,,,Life of Frederick Douglass,,
The Daily News,18,05,1846,0006,018,Anti-Slavery in America,ANTI-SLAVERY IN AMERICA.,title
The Daily News,19,05,1846,0005,010,British and Foreign Antislavery Society,BRITISH AND FOREIGN ANTI-SLAVERY SOCIETY.,title
The Daily News,20,05,1846,,,London Peace Society,,
The Daily News,21,05,1846,0005,013,Metropolitan Complete Suffrage Association,METROPOLITAN COMPLETE SUFFRAGE ASSOCIATION.,title
The Daily News,25,05,1846,0005,014,American Slavery,AMERICAN SLAVERY.,title
northernstarandleedsgeneraladvertiser,22,08,1846,0019,088,unknown,unknown,manual
chartistcircular,09,05,1840,0004,008,unknown,unknown,manual
chartistcircular,28,03,1840,0001,001,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,22,08,1846,0011,050,unknown,unknown,manual
newcastlecourant,23,10,1846,0004,010,unknown,unknown,manual
northernstarandleedsgeneraladvertiser,22,08,1846,0003,013,unknown,unknown,manual
lloydsillustratednewspaper,09,07,1843,0003,009,unknown,unknown,manual
